[2014/7/22 - 2:23:38] OnPlayerDeath: Blade Longwei has killed Amy Moore using Minigun.
[2014/7/25 - 22:8:57] OnPlayerDeath: John Hanks has killed Blade Longwei using Minigun.
[2014/7/25 - 22:13:46] OnPlayerDeath: John Hanks has killed Blade Longwei using Minigun.
[2014/7/25 - 22:33:44] OnPlayerDeath: John Hanks has killed Blade Longwei using Combat Shotgun.
[2014/7/25 - 22:39:31] OnPlayerDeath: Blade Longwei has killed John Hanks using .
[2014/7/25 - 22:45:8] OnPlayerDeath: John Hanks has killed Blade Longwei using Minigun.
[2014/7/25 - 23:4:15] OnPlayerDeath: John Hanks has killed Blade Longwei using Minigun.
[2014/7/25 - 23:4:16] OnPlayerDeath: John Hanks has killed Luis Amuso using Minigun.
[2014/7/25 - 23:10:39] OnPlayerDeath: Blade Longwei has killed Luis Amuso using Minigun.
[2014/7/29 - 7:18:24] OnPlayerDeath: Blade Longwei has killed Silas Owens using Minigun.
[2014/7/29 - 9:45:15] OnPlayerDeath: Blade Longwei has killed Silas Owens using Minigun.
[2014/7/29 - 9:47:44] OnPlayerDeath: Blade Longwei has killed Silas Owens using Minigun.
